,System,Algorithm,Random Seed,Kdim,Time,Train Error1,Train Error2,Train Error5,Test Error1,Test Error2,Test Error5
0,glycolic oscillator,SGD with AugSILL,42,27,"[0.12115311622619629, 0.2480151653289795, 0.3734469413757324, 0.49830198287963867, 0.6239750385284424]","[1.4947317838668823, 1.465914249420166, 1.4353684186935425, 1.402696967124939, 1.3794989585876465]","[2.0836267471313477, 2.032992124557495, 1.9707038402557373, 1.9235014915466309, 1.8791329860687256]","[5.6675262451171875, 5.48084831237793, 5.347742557525635, 5.160977840423584, 5.0057373046875]","[1.548906683921814, 1.519970417022705, 1.4915783405303955, 1.4637643098831177, 1.4365519285202026]","[2.0930404663085938, 2.037163257598877, 1.9829710721969604, 1.9309736490249634, 1.8810540437698364]","[5.994749546051025, 5.800381660461426, 5.614965438842773, 5.439685344696045, 5.273946762084961]"
1,glycolic oscillator,deepDMD,42,27,"[0.11848282814025879, 0.23100900650024414, 0.34448695182800293, 0.4587209224700928, 0.5717990398406982]","[0.00661819614470005, 0.0037255720235407352, 0.002624817192554474, 0.001258275704458356, 0.0010428301757201552]","[0.011124053038656712, 0.006822393741458654, 0.003870328888297081, 0.002033947966992855, 0.001545967417769134]","[0.01873340643942356, 0.009814788587391376, 0.006517626810818911, 0.002643356565386057, 0.002546322299167514]","[0.012041386216878891, 0.007255106698721647, 0.004848132841289043, 0.003888761857524514, 0.00334799662232399]","[0.019827332347631454, 0.011443698778748512, 0.007297486532479525, 0.005944219417870045, 0.005421654786914587]","[0.030436675995588303, 0.020439084619283676, 0.011709646321833134, 0.009380210191011429, 0.00868244282901287]"
2,glycolic oscillator,SGD with AugSILL,21,27,"[0.11478114128112793, 0.23775625228881836, 0.36245012283325195, 0.4857289791107178, 0.6096832752227783]","[1.025445818901062, 0.9938216209411621, 0.9672936797142029, 0.9450547695159912, 0.9216235280036926]","[2.377117395401001, 2.3194239139556885, 2.2432193756103516, 2.190749168395996, 2.1455307006835938]","[16.55568504333496, 15.919597625732422, 15.240571022033691, 14.78640079498291, 14.40009593963623]","[1.08420729637146, 1.0567307472229004, 1.0300019979476929, 1.0040578842163086, 0.978817343711853]","[2.5069379806518555, 2.44319486618042, 2.381439208984375, 2.3218414783477783, 2.2643585205078125]","[19.011930465698242, 18.36396026611328, 17.7387638092041, 17.133338928222656, 16.547332763671875]"
3,glycolic oscillator,deepDMD,21,27,"[0.10298299789428711, 0.20365405082702637, 0.30376291275024414, 0.40317416191101074, 0.5029780864715576]","[0.0033101229928433895, 0.001883018296211958, 0.002023563487455249, 0.0011309495894238353, 0.0009659022325649858]","[0.0037603527307510376, 0.002100784797221422, 0.0018050986109301448, 0.0010539171053096652, 0.0010945498943328857]","[0.005199219100177288, 0.0037548604886978865, 0.002047633519396186, 0.0012249845312908292, 0.0009851038921624422]","[0.01721414551138878, 0.012716884724795818, 0.010494601912796497, 0.00900187622755766, 0.007764527108520269]","[0.016121648252010345, 0.011790205724537373, 0.010044923052191734, 0.009696424007415771, 0.009343004785478115]","[0.018898319453001022, 0.014423646964132786, 0.01217709295451641, 0.012194895185530186, 0.012259402312338352]"
4,glycolic oscillator,SGD with AugSILL,7,27,"[0.1158592700958252, 0.23958110809326172, 0.36155009269714355, 0.4883241653442383, 0.617340087890625]","[0.9560352563858032, 0.9373729825019836, 0.9355038404464722, 0.9140396118164062, 0.9212225079536438]","[2.048004627227783, 2.001896858215332, 2.0266776084899902, 1.940537452697754, 2.057508707046509]","[9.3229341506958, 9.036216735839844, 8.858366966247559, 8.3999662399292, 8.441817283630371]","[1.1250807046890259, 1.1033170223236084, 1.0819509029388428, 1.0610744953155518, 1.0406864881515503]","[2.6578638553619385, 2.6082558631896973, 2.559412717819214, 2.5115909576416016, 2.4649362564086914]","[10.184706687927246, 9.87688159942627, 9.576528549194336, 9.288511276245117, 9.012622833251953]"
5,glycolic oscillator,deepDMD,7,27,"[0.10244512557983398, 0.20236706733703613, 0.30164527893066406, 0.4016091823577881, 0.5008888244628906]","[0.0023663125466555357, 0.0017233340768143535, 0.0006446272018365562, 0.0002869768941309303, 0.000519665249157697]","[0.0040845428593456745, 0.0026475870981812477, 0.0010254165390506387, 0.00044810603139922023, 0.0008186878985725343]","[0.021189389750361443, 0.004557498265057802, 0.0019371643429622054, 0.0008584724273532629, 0.000777341250795871]","[0.006363237742334604, 0.0036780955269932747, 0.002495685825124383, 0.0019455250585451722, 0.0016293242806568742]","[0.00957154668867588, 0.005318474490195513, 0.003640827490016818, 0.0028574292082339525, 0.0025477930903434753]","[0.027176247909665108, 0.007794936653226614, 0.0053226943127810955, 0.00346259749494493, 0.0032753655686974525]"
6,glycolic oscillator,SGD with AugSILL,3,27,"[0.1133270263671875, 0.24191713333129883, 0.3645510673522949, 0.48439908027648926, 0.609586238861084]","[0.9419517517089844, 0.9165723323822021, 0.9077696204185486, 0.914025604724884, 0.8357951641082764]","[1.2339752912521362, 1.2043496370315552, 1.2058582305908203, 1.1912330389022827, 1.1646238565444946]","[11.292745590209961, 10.957047462463379, 10.942635536193848, 10.843083381652832, 10.324112892150879]","[1.1246286630630493, 1.1027108430862427, 1.0812350511550903, 1.0602127313613892, 1.0396728515625]","[1.3743726015090942, 1.3579984903335571, 1.3419702053070068, 1.3262470960617065, 1.310733437538147]","[13.359403610229492, 13.115975379943848, 12.876505851745605, 12.642830848693848, 12.421409606933594]"
7,glycolic oscillator,deepDMD,3,27,"[0.09720802307128906, 0.19675898551940918, 0.2949800491333008, 0.39421582221984863, 0.4921689033508301]","[0.003251509042456746, 0.001178734702989459, 0.000890997180249542, 0.0009385129087604582, 0.0002980767167173326]","[0.005232175812125206, 0.0014764375519007444, 0.0009695619810372591, 0.0013529846910387278, 0.0005496967933140695]","[0.02145356312394142, 0.0023734765127301216, 0.0013232716592028737, 0.0017043222906067967, 0.0009632917353883386]","[0.019802797585725784, 0.012927594594657421, 0.01020046602934599, 0.008384820073843002, 0.0071390424855053425]","[0.025072723627090454, 0.016055960208177567, 0.013882076367735863, 0.012830190360546112, 0.012102117761969566]","[0.04441003501415253, 0.0182595644146204, 0.017069021239876747, 0.01701238751411438, 0.01724054105579853]"
